Unnamed: 0,p_title,price,stock,url,company,p_type,img_url
15,10 LB Pair Economy Black Bumper Plates,$44.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/10-lb-pair-economy-black-bumper-plates/430101.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwbfaab66a/images/hi-res/Fitness/430101.2_01.jpg?sw=800&sh=800
16,37.5 LB Set Black Change Plates,$134.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/37.5-lb-set-black-change-plates/430238.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw8f34cd5b/images/hi-res/Fitness/430238_01.jpg?sw=800&sh=800
17,35 LB Single Cast Iron Olympic Plates,$54.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/cast-iron-plates/35-lb-single-cast-iron-olympic-plates/430231.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw5efc9a2e/images/hi-res/Fitness/430231_01.jpg?sw=800&sh=800
18,37.5 LB Set Color Change Plates,$139.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/37.5-lb-set-color-change-plates/430250.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw8306b583/images/hi-res/Fitness/430250_01.jpg?sw=800&sh=800
19,10 LB Pair Cast Iron Olympic Plates,$39.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/cast-iron-plates/10-lb-pair-cast-iron-olympic-plates/430210.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw6527e72e/images/hi-res/Fitness/430210_01.jpg?sw=800&sh=800
20,45 LB Single Color Urethane Bumper Plate,$148.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/45-lb-single-color-urethane-bumper-plate/430224.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw21e9af34/images/hi-res/Fitness/430224.2_01.jpg?sw=800&sh=800
21,2.5 KG Pair Black Change Plates,$44.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/2.5-kg-pair-black-change-plates/430244.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw90d8831c/images/hi-res/Fitness/430244.2_01.jpg?sw=800&sh=800
0,Blemished - CHISEL Olympic EZ Curl Bar with 4 Needle Bearings,$98.00,In Stock,https://www.xmarkfitness.com/blemished-chisel-olympic-ez-curl-bar-with-4-needle-bearings/,Xmark Fitness,Barbell,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1264/images/4377/CHISEL-1__00861.1599680822.195.195.jpg?c=2
1,CROWBAR EZ Curl and  Olympic Bar,$291.00,Out of stock,https://www.xmarkfitness.com/crowbar-ez-curl-and-olympic-bar/,Xmark Fitness,Barbell,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1240/images/4213/crow-and-curl__54787.1591105363.195.195.jpg?c=2
2,BLACKSMITH EZ Curl Olympic Bar,$79.00,Out of stock,https://www.xmarkfitness.com/blacksmith-ez-curl-olympic-bar/,Xmark Fitness,Barbell,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1241/images/4224/BLACKSMITH-CURL-5-nodotcom__27378.1591105917.195.195.jpg?c=2
3,EZ Curl Olympic Bar XM-3670.1-BLACK,$94.00,Out of stock,https://www.xmarkfitness.com/bars/xmark-chrome-olympic-ez-curl-bar-xm-3670/,Xmark Fitness,Barbell,https://cdn10.bigcommerce.com/s-l4qtjnp/products/176/images/4263/3670.1-BLACK-1__15145.1592582559.195.195.jpg?c=2
4,IRONHORSE Super Curl Olympic Bar,$95.00,Out of stock,https://www.xmarkfitness.com/ironhorse-super-curl-olympic-bar/,Xmark Fitness,Barbell,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1233/images/4145/IRONHORSE-1__91622.1574432424.195.195.jpg?c=2
5,CHISEL EZ Curl Olympic Bar with Needle Bearings,$108.00,Out of stock,https://www.xmarkfitness.com/chisel-ez-curl-olympic-bar-with-needle-bearings/,Xmark Fitness,Barbell,https://cdn10.bigcommerce.com/s-l4qtjnp/products/315/images/4261/CHISEL-close__52332.1592427206.195.195.jpg?c=2
6,ECO Bar with Tri Grip Olympic Plate Set,$450.00,Out of stock,https://www.xmarkfitness.com/eco-bar-with-tri-grip-olympic-plate-set/,Xmark Fitness,Barbell,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1261/images/4359/3817-BLACK-3377-BAL-115__87613.1595606277.195.195.jpg?c=2
7,XMark 7’ Black Olympic Bar (28 mm) with Brass Bushings,$150.00,Out of stock,https://www.xmarkfitness.com/xmark-7-black-olympic-bar-28-mm-with-brass-bushings/,Xmark Fitness,Barbell,https://cdn10.bigcommerce.com/s-l4qtjnp/products/308/images/991/3817-BLACK-1__88792.1477431460.195.195.jpg?c=2
8,VOODOO Commercial 7' Olympic Bar,$202.00,Out of stock,https://www.xmarkfitness.com/voodoo-commercial-7-olympic-bar/,Xmark Fitness,Barbell,https://cdn10.bigcommerce.com/s-l4qtjnp/products/234/images/901/VOODOO-5__50635.1547220244.195.195.jpg?c=2
9,CROWBAR Commercial 7' Olympic Bar,$214.00,Out of stock,https://www.xmarkfitness.com/crowbar-commercial-7-olympic-bar/,Xmark Fitness,Barbell,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1195/images/3989/CROWBAR-1__83933.1560875215.195.195.jpg?c=2
0,TEXAS STAR 10 lb. Pair of Select Rubber Coated Olympic Plate Weights - Total Weight 20 lbs.,$49.00,Out of stock,https://www.xmarkfitness.com/texas-star-10-lb-pair-of-select-rubber-coated-olympic-plate-weights-total-weight-20-lbs/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/319/images/1099/3389-10-P-2__79145.1497882301.195.195.jpg?c=2
1,TEXAS STAR 35 lb. Pair of Select Rubber Coated Olympic Plate Weights - Total Weight 70 lbs.,$195.00,Out of stock,https://www.xmarkfitness.com/texas-star-35-lb-pair-of-select-rubber-coated-olympic-plate-weights-total-weight-70-lbs/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/323/images/1137/3389-35-P-2__40308.1497908887.195.195.jpg?c=2
2,TEXAS STAR 45 lb. Select Rubber Coated Olympic set,$158.00,Out of stock,https://www.xmarkfitness.com/texas-star-45-lb-select-rubber-coated-olympic-set/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/326/images/1164/3389-BAL-45-1__14688.1497883573.195.195.jpg?c=2
3,TEXAS STAR 95 lb. Select Rubber Coated Olympic set,$274.00,Out of stock,https://www.xmarkfitness.com/texas-star-95-lb-select-rubber-coated-olympic-set/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/328/images/1177/3389-BAL-95-1__34107.1497909783.195.195.jpg?c=2
4,TEXAS STAR 205 lb. Select Rubber Coated Olympic set,$538.00,Out of stock,https://www.xmarkfitness.com/texas-star-205-lb-select-rubber-coated-olympic-set/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/334/images/1219/3389-BAL-205-1__94597.1497901078.195.195.jpg?c=2
5,Black Diamond 35 lb Pair Olympic Weight Plates,$193.00,Out of stock,https://www.xmarkfitness.com/black-diamond-35-lb-pair-olympic-weight-plates/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1173/images/3883/BLACK-DIAMOND-35-P__47470.1554479101.195.195.jpg?c=2
6,Black Diamond 45 lb Pair Olympic Weight Plates,$221.00,Out of stock,https://www.xmarkfitness.com/black-diamond-45-lb-pair-olympic-weight-plates/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1174/images/3886/BLACK-DIAMOND-45-P__03272.1554479107.195.195.jpg?c=2
7,Black Diamond 95 lb Set Olympic Weight Plates,$272.00,Out of stock,https://www.xmarkfitness.com/black-diamond-95-lb-set-olympic-weight-plates/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1199/images/4009/BLACK-DIAMOND-BAL-95__45475.1564596735.195.195.jpg?c=2
8,XMark Premium Quality Rubber Coated Tri-grip Olympic Weight Plates - 1 Pair of 10 lb Plates,$64.00,Out of stock,https://www.xmarkfitness.com/xmark-premium-quality-rubber-coated-tri-grip-olympic-weight-plates-1-pair-of-10-lb-plates/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/991/images/3254/3377-10-P__61257.1537210755.195.195.jpg?c=2
9,XMark Premium Quality Rubber Coated Tri-grip Olympic Weight Plates - 1 Pair of 25 lb. Plates,$129.00,Out of stock,https://www.xmarkfitness.com/xmark-premium-quality-rubber-coated-tri-grip-olympic-weight-plates-1-pair-of-25-lb-plates/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/994/images/3260/3377-25-P__53966.1537352766.195.195.jpg?c=2
10,Premium Quality Rubber Coated Tri-grip Olympic Weight Plates - 1 Pair of 45 lb. Plates,$214.00,Out of stock,https://www.xmarkfitness.com/premium-quality-rubber-coated-tri-grip-olympic-weight-plates-1-pair-of-45-lb-plates/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/996/images/3264/3377-45-P__79887.1537240436.195.195.jpg?c=2
11,XMark Premium Quality Rubber Coated Tri-Grip Olympic Weight Plates - 65 lb. Set,$194.00,Out of stock,https://www.xmarkfitness.com/xmark-premium-quality-rubber-coated-tri-grip-olympic-weight-plates-65-lb-set/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/998/images/3268/3377-BAL-65__68475.1537469945.195.195.jpg?c=2
12,XMark Premium Quality Rubber Coated Tri-Grip Olympic Weight Plates - 95 lb. Set,$261.00,Out of stock,https://www.xmarkfitness.com/xmark-premium-quality-rubber-coated-tri-grip-olympic-weight-plates-95-lb-set/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1000/images/3272/3377-BAL-95__40732.1537532941.195.195.jpg?c=2
13,XMark Premium Quality Rubber Coated Tri-Grip Olympic Weight Plates - 205 lb. Set,$538.00,Out of stock,https://www.xmarkfitness.com/xmark-premium-quality-rubber-coated-tri-grip-olympic-weight-plates-205-lb-set/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1012/images/3295/3377-BAL-205__34614.1537654950.195.195.jpg?c=2
14,"XMark 60 lb. Set Bumper Plates, XM-3393-10-SIX",$199.00,Out of stock,https://www.xmarkfitness.com/xmark-60-lb-set-bumper-plates-xm-3393-10-six/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1151/images/3760/3393-10-SIX__08274.1551736733.195.195.jpg?c=2
15,"25 lb. Pair Bumper Plates, XM-3393-25-P",$135.00,Out of stock,https://www.xmarkfitness.com/25-lb-pair-bumper-plates-xm-3393-25-p/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1148/images/3745/3393-25-P__49732.1551736438.195.195.jpg?c=2
16,"45 lb. Pair Bumper Plates, XM-3393-45-P",$187.00,Out of stock,https://www.xmarkfitness.com/45-lb-pair-bumper-plates-xm-3393-45-p/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1150/images/3755/3393-45-P__96444.1551736665.195.195.jpg?c=2
17,HI-IMPACT Black Olympic Bumper - 15 LB. (Set of 4),$147.00,Out of stock,https://www.xmarkfitness.com/hi-impact-black-olympic-bumper-15-lb-set-of-4/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1140/images/3622/3391-15-FOUR__75458.1551308531.195.195.jpg?c=2
18,HI-IMPACT Black Olympic Bumper - 10 LB. Pair,$69.00,Out of stock,https://www.xmarkfitness.com/hi-impact-black-olympic-bumper-10-lb-pair/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1250/images/4295/3391-10-P__05232.1594310300.195.195.jpg?c=2
19,HI-IMPACT Black Olympic Bumper - 25 LB. Pair,$124.00,Out of stock,https://www.xmarkfitness.com/hi-impact-black-olympic-bumper-25-lb-pair/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/353/images/3593/3391-25-P__47978.1551310490.195.195.jpg?c=2
20,HI-IMPACT Black Olympic Bumper - 35 LB. Pair,$166.00,Out of stock,https://www.xmarkfitness.com/hi-impact-black-olympic-bumper-35-lb-pair/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/354/images/3594/3391-35-P__34830.1551310396.195.195.jpg?c=2
21,HI-IMPACT Black Olympic Bumper - 55 LB. Pair,$219.00,Out of stock,https://www.xmarkfitness.com/hi-impact-black-olympic-bumper-55-lb-pair/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1141/images/3616/3391-55-P__87086.1551302063.195.195.jpg?c=2
22,Classic Black Bumper Plates 25 LB. (Set of Four),$220.00,Out of stock,https://www.xmarkfitness.com/classic-black-bumper-plates-25-lb-set-of-four/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1239/images/4208/3385-25-FOUR__98987.1591029158.195.195.jpg?c=2
23,Classic Black Bumper Plates 45 LB. Pair,$203.00,Out of stock,https://www.xmarkfitness.com/classic-black-bumper-plates-45-lb-pair/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/229/images/1321/3385-45-P-1__26552.1501794272.195.195.jpg?c=2
24,"XMark Pair of 10 lb Hex Dumbbells, Premium Quality, Rubber Coated with Chrome Contoured Handles",$53.00,Out of stock,https://www.xmarkfitness.com/free-weights/xmark-pair-of-10-lb-rubber-hex-dumbbells-xm-3301-10-p/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/151/images/279/3301_10_P__47381.1422621969.195.195.jpg?c=2
25,"XMark Pair of 40 lb Hex Dumbbells, Premium Quality, Rubber Coated with Chrome Contoured Handles",$164.00,Out of stock,https://www.xmarkfitness.com/free-weights/xmark-pair-of-40-lb-rubber-hex-dumbbells-xm-3301-40-p/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/158/images/288/3301_40_P__16327.1422622331.195.195.jpg?c=2
26,"XMark Pair of 50 lb Hex Dumbbells, Premium Quality, Rubber Coated with Chrome Contoured Handles",$197.00,Out of stock,https://www.xmarkfitness.com/xmark-pair-of-50-lb-hex-dumbbells-premium-quality-rubber-coated-with-chrome-contoured-handles/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/225/images/490/3301_50_P__63848.1429285887.195.195.jpg?c=2
27,100 lb Set of Hex Dumbbells,$186.00,Out of stock,https://www.xmarkfitness.com/100-lb-set-of-hex-dumbbells/,Xmark Fitness,Plates,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1257/images/4329/3301-1025-C-1__79048.1594909024.195.195.jpg?c=2
